abbility: ability
mofification: modification
monospce: monospace
muliples: multiples
neccessary: necessary
neededs: needed
nieghbor: neighbor
notfication: notification
noticable: noticeable
noticably: noticeably
notificatious: notifications
obfsucated: obfuscated
ocassion: occasion
occassionally: occasionally
occurance: occurrence
offical: official
offical: official
offically: officially
offically: officially
opertion: operation
oportunity: opportunity
oppurtunity: opportunity
orginal: original
ouput: output
ouputs: outputs
ovbiously: obviously
pacakge: package
pacakges: packages
pakage: package
parametees: parameters
particlar: particular
particularily: particularly
passrord: password
peformance: performance
pefromance: performance
pelase: please
perceieve: perceive
perferred: preferred
persistant: persistent
persitence: persistence
phisical: physical
pipleine: pipeline
pipleline: pipeline
pirvacy: privacy
placholders: placeholders
poitner: pointer
porfolio: portfolio
posible: possible
positition: position
postions: positions
powerul: powerful
preapre: prepare
preceeding: preceding
preperation: preparation
presenttation: presentation
previouse: previous
privaledges: privileges
priviledge: privilege
prjects: projects
probablistic: probabilistic
proffessional: professional
progam: program
propogation: propagation
provoide: provide
prsent: present
quaterly: quarterly
qucikly: quickly
quesiton: question
questoinnaire: questionnaire
realeased: released
reaoson: reason
reasonalbe: reasonable
reccomend: recommend
recieve: receive
recognization: recognition
recogntion: recognition
recomended: recommended
rediculous: ridiculous
refering: referring
refference: reference
registeration: registration
regresssion: regression
relaoding: reloading
relationshiop: relationship
reliablity: reliability
remeber: remember
repdoductive: reproductive
repeadetly: repeatedly
reponsible: responsible
reponsive: responsive
repositoty: repository
reposittory: repository
repostitory: repository
represenation: representation
representend: represented
requeriments: requirements
requried: required
reseach: research
resonable: reasonable
resovlers: resolvers
responce: response
responsibilty: responsibility
ressources: resources
reterieve: retrieve
reverisble: reversible
rewitten: rewritten
runnning: running
schould: should
selct: select
sensitve: sensitive
sepecific: specific
seperately: separately
serializaion: serialization
similliar: similar
simpely: simply
simplyfying: simplifying
simulataenous: simultaneous
somethign: something
specifiying: specifying
srcipt: script
stastistics: statistics
statment: statement
strcutures: structures
strenght: strength
structrue: structure
subbmodules: submodules
submiting: submitting
subscritions: subscriptions
subtmit: submit
sufficent: sufficient
suggenstions: suggestions
suported: supported
supplemntary: supplementary
suppport: support
tanslate: translate
tecnologies: technologies
tempaltes: templates
thier: their
threhold: threshold
throrough: thorough
togheter: together
tommorow: tomorrow
transaformation: transformation
trasnfer: transfer
trialing: trailing
triggeed: triggered
truely: truly
tweeets: tweets
undefind: undefined
undernstandable: understandable
unecessary: unnecessary
unforseen: unforeseen
unforutnately: unfortunately
unintstall: uninstall
unnecssary: unnecessary
unpriviledged: unprivileged
untill: until
upcomming: upcoming
usageage: usage
useage: usage
usefull: useful
ussage: usage
usuful: useful
varriable: variable
vechicle: vehicle
velociy: velocity
vengence: vengeance
verions: versions
vidoes: videos
vigerous: vigorous
villian: villain
viriables: variables
virutal: virtual
vizualisation: visualisation
vlaue: value
vulnerablity: vulnerability
weeekend: weekend
weigths: weights
wether: weather
wheras: whereas
whereever: wherever
whereever: wherever
wheter: whether
whhich: which
wierd: weird
wirless: wireless
withouth: without
wondrful: wonderful
worflow: workflow
wrok: work
wrtie: write
yieldd: yield
zepelin: zeppelin
